"","NAT","Year","GS"
"1","CAN",1990,19.64
"2","CAN",1992,11.86
"3","CAN",1994,12.955
"4","CAN",1998,6.401
"5","CAN",1999,9.17
"6","CAN",2000,13.78
"7","CAN",2001,19.46
"8","CAN",2002,15.7
"9","CAN",2004,11.12
"10","CAN",2005,15.98
"11","CAN",2006,19.765
"12","CAN",2007,14.62
"13","CAN",2008,11.62
"14","CAN",2009,15.64
"15","CAN",2010,21.94
"16","CAN",2011,14.84
"17","CAN",2012,13.32
"18","CAN",2013,15.42
"19","CAN",2014,9.315
"20","CAN",2015,8.56
"21","CAN",2016,9.545
"22","CAN",2017,8.38
"23","CAN",2018,9.44
"24","CAN",2019,13.732
"25","CAN",2021,13.874
"26","FIN",1990,10.77
"27","FIN",1992,10.795
"28","FIN",1994,13.51
"29","FIN",1998,6.912
"30","FIN",1999,8.75
"31","FIN",2000,10.78
"32","FIN",2001,4.7
"33","FIN",2002,5.68
"34","FIN",2004,3.3
"35","FIN",2005,6.42
"36","FIN",2006,3.26
"37","FIN",2007,2.13
"38","FIN",2008,6.995
"39","FIN",2009,8.54
"40","FIN",2010,4.64
"41","FIN",2011,6.291
"42","FIN",2012,4.729
"43","FIN",2013,3.017
"44","FIN",2014,5.454
"45","FIN",2015,5.508
"46","FIN",2016,5.919
"47","FIN",2017,7.664
"48","FIN",2018,6.65
"49","FIN",2019,8.591
"50","FIN",2021,5.63
"51","GER",1990,3.38
"52","GER",1994,-0.09
"53","GER",1999,2
"54","GER",2000,2.74
"55","GER",2001,3.54
"56","GER",2002,4.08
"57","GER",2004,0.45
"58","GER",2005,4.07
"59","GER",2006,2.78
"60","GER",2007,1.975
"61","GER",2008,2.275
"62","GER",2012,4.94
"63","GER",2013,5.34
"64","GER",2014,4.62
"65","GER",2015,2.02
"66","GER",2017,3.1
"67","GER",2019,2.96
"68","GER",2021,NA
"69","JPN",1990,1.915
"70","JPN",1998,-1.94
"71","JPN",2000,2.38
"72","JPN",2004,-0.05
"73","JPN",2008,2.2
"74","JPN",2009,3.175
"75","JPN",2014,3.62
"76","JPN",2015,6.287
"77","JPN",2016,2.75
"78","JPN",2018,5.845
"79","JPN",2019,4.48
"80","JPN",2021,4.868
"81","NOR",1990,3.245
"82","NOR",1992,0.91
"83","NOR",1994,2.64
"84","SUI",1990,6.47
"85","SUI",1992,-0.54
"86","SUI",1994,1.88
"87","SUI",1999,0.89
"88","SUI",2004,1.65
"89","SUI",2006,3.67
"90","SUI",2007,2.1
"91","SUI",2008,2.56
"92","SUI",2009,5.9
"93","SUI",2010,6.16
"94","SUI",2011,6.08
"95","SUI",2012,6.375
"96","SUI",2013,2.18
"97","SUI",2014,3.134
"98","SUI",2015,4.775
"99","SUI",2016,6.62
"100","SUI",2017,5.468
"101","SUI",2018,7.985
"102","SUI",2019,NA
"103","SUI",2021,2.007
"104","SWE",1990,5.328
"105","SWE",1992,4.38
"106","SWE",1994,6.77
"107","SWE",1998,0.38
"108","SWE",1999,3.14
"109","SWE",2000,4.023
"110","SWE",2001,4.628
"111","SWE",2002,4.495
"112","SWE",2004,2.04
"113","SWE",2005,6.245
"114","SWE",2006,6.875
"115","SWE",2007,8.04
"116","SWE",2008,7.583
"117","SWE",2009,11.36
"118","SWE",2010,5.94
"119","SWE",2011,8.375
"120","SWE",2012,8.04
"121","SWE",2013,4.16
"122","SWE",2014,5.765
"123","SWE",2015,6.925
"124","SWE",2016,5.58
"125","SWE",2017,4.44
"126","SWE",2018,8.464
"127","SWE",2019,6.747
"128","USA",1990,16.83
"129","USA",1992,13.08
"130","USA",1994,13.09
"131","USA",1998,7.951
"132","USA",1999,10.52
"133","USA",2000,20.873
"134","USA",2001,18.4
"135","USA",2002,14.555
"136","USA",2004,9.615
"137","USA",2005,12.54
"138","USA",2006,9.655
"139","USA",2007,12.22
"140","USA",2008,10.63
"141","USA",2009,13.04
"142","USA",2010,17.955
"143","USA",2011,18.393
"144","USA",2012,20.52
"145","USA",2013,9.897
"146","USA",2014,12.08
"147","USA",2015,18.72
"148","USA",2016,12.74
"149","USA",2017,13.86
"150","USA",2018,9.28
"151","USA",2019,14.716
"152","USA",2021,NA
"153","CHN",1992,2.14
"154","CHN",1994,3.49
"155","CHN",1998,1.413
